item_id	dealer_id
98473	1033600
98473	297106
98473	300020
98473	974446
98473	1020112
98473	228635
98473	788647
98473	978766
98473	1001095
98473	769600
98473	999403
98473	953230
98473	989230
98473	785596
98473	988267
90565	600526
90565	838504
90565	225613
90565	911461
90565	304084
90565	251097
90565	282976
90565	715960
90565	924217
90565	178051
90565	855919
90565	414841
90565	923044
90565	655912
90565	912190
109888	1262950
109888	1253446
109888	1242127
109888	1232188
109888	1218679
109888	798871
109888	1176199
109888	926911
109888	926911
109888	1164922
109888	1163956
109888	1023277
109888	1023277
109888	1023277
109888	1023277
113488	535243
113488	535243
113488	535243
113488	535243
113488	535243
113488	1054654
113488	769600
113488	1048957
113488	914800
113488	331672
113488	1046248
113488	133853
113488	193442
113488	1043890
113488	965023
19271	249774
19271	250930
19271	334779
19271	471826
19271	475261
19271	306045
19271	306045
19271	460957
19271	454600
19271	348714
19271	286423
19271	470743
19271	359797
19271	468361
19271	454417
82297	800788
82297	427045
82297	815998
82297	185788
82297	185788
82297	185788
82297	185788
82297	185788
82297	185788
82297	185788
82297	185788
82297	185788
82297	185788
82297	185788
82297	193130
10675	300055
10675	298231
10675	282840
10675	298010
10675	252657
10675	292494
10675	299303
10675	298801
10675	298039
10675	300651
10675	282524
10675	300426
10675	300567
10675	281676
10675	300390
17479	420811
17479	354019
17479	421372
17479	254756
17479	369276
17479	352865
17479	372549
17479	260466
17479	260466
17479	260466
17479	409768
17479	420472
17479	375747
17479	291063
17479	390724
35770	578494
35770	565453
35770	578494
35770	481450
35770	558253
35770	480406
35770	484522
35770	577426
35770	542983
35770	542341
35770	542341
35770	542512
35770	444190
35770	577129
35770	577039
115075	917212
115075	372134
115075	1108771
115075	1108750
115075	1108723
115075	1108693
115075	1108669
115075	1108645
115075	1108633
115075	1108612
115075	1090576
115075	347251
115075	271990
115075	1104664
115075	1104400
107452	1097698
107452	1049284
107452	928309
107452	1077238
107452	1077043
107452	1063501
107452	356838
107452	987469
107452	1060351
107452	1060153
107452	424861
107452	1050124
107452	1049284
107452	684913
107452	1047850
94522	930034
94522	1045564
94522	470659
94522	1032805
94522	1031029
94522	353579
94522	210773
94522	992200
94522	468415
94522	989875
94522	197279
94522	987097
94522	987097
94522	365701
94522	292934
92578	221071
92578	958264
92578	955993
92578	847147
92578	951700
92578	635473
92578	949495
92578	287190
92578	853906
92578	853906
92578	853906
92578	853906
92578	853906
92578	853906
92578	276060
98680	1001776
98680	999145
98680	999580
98680	494227
98680	759088
98680	920359
98680	920359
98680	322966
98680	969028
98680	987742
98680	962077
98680	504736
98680	983293
98680	270302
98680	645787
84082	844651
84082	173368
84082	832948
84082	749422
84082	286527
84082	820393
84082	816850
84082	814585
84082	813571
84082	454105
84082	567478
84082	752992
84082	799438
84082	799297
84082	799186
24151	544774
24151	543205
24151	449788
24151	266153
24151	211176
24151	536149
24151	535642
24151	502591
24151	502591
24151	532696
